"abd","C.ach","C.akw","C.ata","C.kma","C.oro","C.pad","C.paj","C.pal","age","fthr.ed","mthr.ed","orphan96","fthr.frm","hh.size96","educ"
0,1,0,0,0,0,0,0,0,29,4,0,0,1,9,6
0,1,0,0,0,0,0,0,0,30,0,0,0,1,5,3
1,1,0,0,0,0,0,0,0,28,0,0,0,1,2,7
1,1,0,0,0,0,0,0,0,25,10,4,0,0,11,7
1,1,0,0,0,0,0,0,0,19,4,0,0,1,10,12
1,1,0,0,0,0,0,0,0,21,7,7,0,1,10,6
1,1,0,0,0,0,0,0,0,29,4,0,0,1,12,5
0,1,0,0,0,0,0,0,0,14,4,0,0,1,7,5
1,1,0,0,0,0,0,0,0,14,10,0,0,0,7,6
1,1,0,0,0,0,0,0,0,25,7,4,0,1,9,2
1,1,0,0,0,0,0,0,0,20,4,0,0,1,8,13
1,1,0,0,0,0,0,0,0,22,10,0,0,1,8,8
0,1,0,0,0,0,0,0,0,21,10,0,0,1,17,3
0,0,0,0,0,0,1,0,0,16,4,0,0,1,5,7
1,0,0,0,0,0,1,0,0,14,10,7,0,1,7,5
0,1,0,0,0,0,0,0,0,14,0,0,0,1,12,5
1,1,0,0,0,0,0,0,0,30,4,0,0,1,6,6
1,1,0,0,0,0,0,0,0,25,7,4,0,1,2,7
1,1,0,0,0,0,0,0,0,25,4,0,0,1,5,3
1,1,0,0,0,0,0,0,0,25,4,0,0,1,7,5
1,1,0,0,0,0,0,0,0,29,4,0,1,1,8,6
1,1,0,0,0,0,0,0,0,25,4,0,1,1,8,7
1,1,0,0,0,0,0,0,0,29,4,0,0,1,4,3
0,1,0,0,0,0,0,0,0,28,0,7,0,1,6,5
1,1,0,0,0,0,0,0,0,18,7,0,0,1,5,3
0,1,0,0,0,0,0,0,0,28,10,0,0,1,17,7
1,1,0,0,0,0,0,0,0,15,0,0,0,1,5,7
0,1,0,0,0,0,0,0,0,18,4,0,0,1,6,8
1,1,0,0,0,0,0,0,0,26,4,4,0,1,7,6
1,1,0,0,0,0,0,0,0,22,7,4,0,1,5,7
1,1,0,0,0,0,0,0,0,25,0,0,0,1,5,4
1,1,0,0,0,0,0,0,0,15,4,0,0,1,18,6
1,1,0,0,0,0,0,0,0,25,4,0,0,1,18,8
0,0,1,0,0,0,0,0,0,20,4,0,0,1,9,13
1,0,1,0,0,0,0,0,0,30,10,0,0,1,10,10
1,0,1,0,0,0,0,0,0,16,7,0,0,1,5,8
1,0,1,0,0,0,0,0,0,15,7,0,0,0,8,6
0,0,1,0,0,0,0,0,0,21,7,4,0,0,8,8
0,1,0,0,0,0,0,0,0,22,10,7,0,1,19,6
1,1,0,0,0,0,0,0,0,21,4,0,1,1,7,2
1,1,0,0,0,0,0,0,0,14,7,4,0,1,6,5
1,1,0,0,0,0,0,0,0,22,0,0,0,1,5,6
1,1,0,0,0,0,0,0,0,20,4,0,0,1,14,6
1,1,0,0,0,0,0,0,0,16,4,4,0,0,19,3
1,0,0,0,0,0,0,1,0,30,4,0,0,1,5,13
1,0,0,0,0,0,0,1,0,22,4,7,0,1,10,14
1,0,0,0,0,0,0,1,0,14,7,0,1,1,7,5
0,0,0,0,0,0,0,1,0,23,7,4,0,1,7,7
1,0,0,0,0,0,0,1,0,19,0,0,0,1,4,6
1,0,0,0,0,0,0,1,0,20,7,4,0,1,9,2
1,0,0,0,0,0,0,1,0,17,4,0,0,1,5,9
1,0,0,0,0,0,0,1,0,30,7,0,1,1,5,7
1,0,0,0,0,0,0,1,0,28,0,0,0,1,6,7
1,0,0,0,0,0,0,1,0,21,0,0,0,1,9,9
1,0,0,0,0,0,0,1,0,28,4,4,0,1,3,4
1,0,0,0,0,0,0,1,0,16,4,0,0,1,8,5
0,0,0,0,0,0,0,1,0,19,7,0,0,1,9,9
1,0,0,0,0,0,0,1,0,26,4,0,0,0,7,8
0,0,0,0,0,0,0,1,0,25,10,7,1,1,8,10
0,0,0,0,0,0,0,1,0,16,0,0,0,1,5,5
1,0,0,0,0,0,0,1,0,18,7,0,0,1,3,5
1,0,0,0,0,0,0,1,0,21,7,0,0,0,8,6
1,0,0,0,0,0,0,1,0,14,4,4,0,1,5,5
0,0,0,0,0,0,0,1,0,19,4,0,0,1,6,9
1,0,0,0,0,0,0,1,0,19,10,0,0,1,6,10
1,0,0,0,0,0,0,1,0,27,0,0,0,1,6,7
1,0,0,0,0,0,0,1,0,30,10,0,0,1,10,5
1,0,0,0,0,0,0,1,0,22,4,0,0,1,8,7
1,0,0,0,0,0,0,1,0,25,4,0,0,1,8,7
1,0,0,0,0,0,0,1,0,16,10,0,0,1,7,9
0,0,0,0,0,0,0,1,0,18,15,4,1,1,6,10
1,0,0,0,0,0,0,1,0,18,4,0,0,1,5,6
1,0,0,0,0,0,0,1,0,30,0,0,0,1,4,5
1,0,0,0,0,0,0,1,0,22,4,0,0,1,6,6
1,1,0,0,0,0,0,0,0,25,4,0,0,1,7,3
1,1,0,0,0,0,0,0,0,20,10,0,0,1,4,7
0,1,0,0,0,0,0,0,0,25,7,7,0,1,8,6
1,1,0,0,0,0,0,0,0,18,10,4,0,0,7,11
1,1,0,0,0,0,0,0,0,14,10,0,0,1,9,7
1,1,0,0,0,0,0,0,0,20,7,0,0,1,8,7
1,1,0,0,0,0,0,0,0,16,4,0,0,1,8,5
1,1,0,0,0,0,0,0,0,25,4,4,0,1,4,5
1,0,1,0,0,0,0,0,0,20,4,7,1,1,11,11
1,0,1,0,0,0,0,0,0,16,7,4,0,1,18,5
